distance (m),altitude (m)
0,2872.72
0.0055555,2872.72
0.0180553,2872.69
0.0375009,2872.71
0.0902779,2872.75
0.1819431,2872.75
0.3236076,2872.8
0.5319378,2872.86
0.8125104,2872.91
1.1652828,2872.92
1.604165,2872.92
2.1236015,2872.88
2.7263701,2872.81
3.4125231,2872.76
4.1680671,2872.71
4.99861,2872.71
5.8930408,2872.66
6.8402486,2872.62
7.8403096,2872.6
8.8930714,2872.58
9.990277,2872.58
11.1430371,2872.57
12.3541298,2872.56
13.6236519,2872.55
14.9486318,2872.53
16.3263886,2872.53
17.7624779,2872.5
19.2568996,2872.47
20.8097724,2872.45
22.4208591,2872.42
24.093056,2872.42
25.8235851,2872.39
27.6152243,2872.36
29.4681152,2872.34
31.3764197,2872.31
33.3375008,2872.31
35.3402479,2872.3
37.3846612,2872.3
39.4653437,2872.3
41.5819783,2872.31
43.7319455,2872.31
45.9180234,2872.32
48.137434,2872.32
50.3903492,2872.3
52.6764252,2872.26
55.00139,2872.26
57.3596874,2872.19
59.7457621,2872.11
62.1570206,2872.02
64.5930946,2871.94
67.0486126,2871.94
69.520797,2871.85
72.0124259,2871.77
74.5236905,2871.69
77.0458744,2871.6
79.5708359,2871.6
82.0985751,2871.49
84.6272402,2871.38
87.1570244,2871.25
89.6875413,2871.13
92.220836,2871.13
94.7569084,2871.02
97.3013141,2870.94
99.8514698,2870.89
102.4125419,2870.87
104.984725,2870.87
107.5763524,2870.89
110.1929794,2870.91
112.8403633,2870.93
115.5236554,2870.92
118.2597246,2870.92
121.0374599,2870.89
123.8651946,2870.82
126.7403701,2870.73
129.65977,2870.63
132.6152807,2870.63
135.6124571,2870.53
138.6485222,2870.44
141.720932,2870.37
144.8347733,2870.29
147.9875031,2870.29
151.1763435,2870.22
154.4012943,2870.12
157.6598268,2870.01
160.9403324,2869.89
164.2375047,2869.89
167.5457874,2869.76
170.8526817,2869.66
174.1584392,2869.59
177.4611671,2869.54
180.7611168,2869.54
184.0638447,2869.52
187.36935,2869.51
190.6778851,2869.5
193.9917236,2869.49
197.3222285,2869.49
200.6693995,2869.48
204.0387929,2869.49
207.4334448,2869.55
210.8445041,2869.65
214.275007,2869.65
217.711066,2869.78
221.1499026,2869.9
224.5917795,2869.98
228.0278385,2870
231.4277866,2870
234.8319016,2869.96
238.2401831,2869.89
241.6626141,2869.83
245.1070063,2869.83
248.5902868,2869.83
252.1013441,2869.91
255.6346238,2870.1
259.1903966,2870.37
262.765342,2870.71
266.3597319,2870.71
269.9707878,2871.1
273.5929551,2871.52
277.2292881,2871.94
280.8847881,2872.37
284.5569542,2872.37
288.2485647,2872.78
291.9623971,2873.2
295.7015143,2873.63
299.4597905,2874.08
303.2319551,2874.08
307.0263419,2874.57
310.8457279,2875.08
314.6904073,2875.61
318.5570152,2876.13
322.4569562,2876.13
326.3791185,2876.63
330.3235026,2877.1
334.2876334,2877.53
338.2597955,2877.95
342.2277906,2877.95
346.1916192,2878.34
350.1387816,2878.72
354.0667992,2879.08
357.9722958,2879.43
361.8472367,2879.43
365.6832896,2879.76
369.4665654,2880.06
373.2029045,2880.34
376.9167369,2880.34
380.6055696,2880.34
384.2666252,2880.6
387.8999028,2880.6
391.4806774,2880.83
394.9639578,2881.25
398.3777948,2881.46
401.7527433,2881.7
405.0915814,2881.95
408.3973389,2882.23
411.6750667,2882.51
414.9250171,2882.51
418.1610787,2882.79
421.3888073,2883.05
424.6112266,2883.29
427.841733,2883.52
431.0805726,2883.52
434.320801,2883.74
437.5624185,2883.94
440.8098393,2884.13
444.0514567,2884.3
447.2764075,2884.3
450.4958027,2884.42
453.7096429,2884.52
456.9181719,2884.58
460.1278451,2884.63
463.338907,2884.63
466.5694134,2884.68
469.8249195,2884.72
473.1112316,2884.76
476.433403,2884.79
479.8083515,2884.79
483.2221885,2884.81
486.6721363,2884.83
490.1584602,2884.85
493.6750734,2884.87
497.2055753,2884.87
500.7527437,2884.89
504.3138004,2884.93
507.8890186,2884.97
511.472297,2885.02
515.0527985,2885.02
518.6444106,2885.05
522.2443557,2885.08
525.8556872,2885.08
529.4806319,2885.05
533.133354,2885.05
536.8027427,2884.99
540.480465,2884.92
544.1695791,2884.85
547.8723004,2884.79
551.5777996,2884.79
555.2971878,2884.74
559.0387976,2884.7
562.8056944,2884.67
566.5973034,2884.61
570.4222451,2884.61
574.2721868,2884.53
578.1471277,2884.42
582.0445881,2884.26
585.9639731,2884.08
589.9139128,2884.08
593.8805192,2883.88
597.863792,2883.66
601.8612585,2883.45
605.8556423,2883.23
609.8389151,2883.23
613.8055215,2883.02
617.7387951,2882.8
621.633477,2882.58
625.4973071,2882.36
629.3194709,2882.36
633.11108,2882.13
636.8749116,2881.91
640.6112507,2881.71
644.3195272,2881.52
648.0000267,2881.52
651.6527488,2881.35
655.2776935,2881.19
658.8751357,2881.01
662.4473038,2880.82
665.991694,2880.82
669.5083072,2880.61
672.9971431,2880.38
676.4612434,2880.14
679.8945246,2879.9
683.2972505,2879.9
686.672199,2879.66
690.0165928,2879.42
693.333462,2879.19
696.6278565,2878.97
699.9028065,2878.97
703.1638677,2878.75
706.416596,2878.55
709.6667943,2878.34
712.9209116,2878.15
716.1791954,2878.15
719.4485903,2877.96
722.7318738,2877.78
726.0348532,2877.61
729.3570247,2877.45
732.7125292,2877.45
736.0874777,2877.29
739.4818707,2877.14
742.8931904,2877
746.2945276,2876.86
749.6861427,2876.86
753.07498,2876.74
756.4527064,2876.66
759.8195787,2876.63
763.1945272,2876.65
766.5861423,2876.65
769.9999793,2876.74
773.4527045,2876.89
776.9473624,2877.09
780.4723087,2877.32
784.0361436,2877.32
787.6277557,2877.59
791.2415898,2877.87
794.8723672,2878.18
798.5250893,2878.49
802.1916998,2878.49
805.8777545,2878.81
809.5832536,2879.14
813.3112591,2879.47
817.0639801,2879.8
820.847256,2879.8
824.6499763,2880.13
828.4749179,2880.44
832.3168192,2880.73
836.1612053,2881
840.0028136,2881
843.8360887,2881.25
847.6471415,2881.5
851.4362617,2881.76
855.2056484,2882.03
858.9528139,2882.03
862.6777571,2882.33
866.3860336,2882.63
870.0779257,2882.94
873.7445362,2883.24
877.3861475,2883.24
880.9972034,2883.53
884.5721488,2883.8
888.1112542,2884.05
891.6112008,2884.28
895.0667033,2884.28
898.4835787,2884.49
901.8554921,2884.67
905.1834731,2884.83
908.4776161,2884.98
911.7361486,2884.98
914.9669016,2885.12
918.1749411,2885.28
921.3668027,2885.45
924.5442896,2885.64
927.7194834,2885.64
930.8891213,2885.85
934.0527208,2886.07
937.2140248,2886.28
940.3692913,2886.48
943.5167058,2886.48
946.6557861,2886.66
949.7832775,2886.83
952.9001344,2886.97
956.0054059,2887.12
959.0972612,2887.12
962.1835606,2887.26
965.2666118,2887.41
968.3515225,2887.55
971.437351,2887.69
974.53754,2887.69
977.6488409,2887.81
980.7763324,2887.92
983.9265247,2888.02
987.0984566,2888.11
990.30143,2888.11
993.5349605,2888.21
996.8041058,2888.31
1000.109863,2888.42
1003.448447,2888.53
1006.823653,2888.53
1010.234972,2888.63
1013.679102,2888.73
1017.154314,2888.82
1020.665103,2888.91
1024.21532,2888.91
1027.796094,2888.99
1031.404098,2889.06
1035.037653,2889.14
1038.681763,2889.22
1042.331987,2889.22
1045.979432,2889.31
1049.612433,2889.39
1053.226543,2889.47
1056.820658,2889.54
1060.39032,2889.54
1063.929426,2889.59
1067.431883,2889.63
1070.895983,2889.67
1074.32067,2889.69
1077.701432,2889.69
1081.040525,2889.71
1084.334668,2889.72
1087.584866,2889.73
1090.792906,2889.74
1093.962544,2889.74
1097.093291,2889.78
1100.187452,2889.85
1103.245972,2889.96
1106.281806,2890.1
1109.293101,2890.1
1112.293284,2890.27
1115.298565,2890.4
1118.315415,2890.49
1121.337361,2890.51
1124.365323,2890.51
1127.396064,2890.48
1130.429119,2890.43
1133.45986,2890.4
1136.47625,2890.42
1139.473655,2890.42
1142.446059,2890.46
1145.390234,2890.51
1148.307078,2890.53
1151.19848,2890.5
1154.05421,2890.5
1156.89605,2890.42
1159.740234,2890.3
1162.58763,2890.19
1165.437369,2890.1
1168.304211,2890.1
1171.184943,2890.07
1174.076344,2890.07
1176.979299,2890.1
1179.901254,2890.13
1182.8431,2890.13
1185.80717,2890.16
1188.801341,2890.17
1191.826526,2890.19
1194.867914,2890.23
1197.93199,2890.23
1201.004399,2890.3
1204.074952,2890.4
1207.144584,2890.53
1210.216525,2890.65
1213.283379,2890.65
1216.355789,2890.77
1219.436062,2890.88
1222.530696,2890.97
1225.638744,2891.07
1228.772269,2891.07
1231.919684,2891.17
1235.077728,2891.28
1238.24181,2891.42
1241.413742,2891.57
1244.588936,2891.57
1247.772463,2891.74
1250.966616,2891.91
1254.172367,2892.1
1257.394294,2892.29
1260.644493,2892.29
1263.908581,2892.48
1267.186059,2892.69
1270.472371,2892.89
1273.749848,2893.1
1277.013937,2893.1
1280.255801,2893.31
1283.458286,2893.52
1286.616812,2893.71
1289.744304,2893.9
1292.830603,2893.9
1295.889123,2894.09
1298.922179,2894.26
1301.930696,2894.41
1304.913756,2894.56
1307.875048,2894.56
1310.814116,2894.69
1313.727738,2894.8
1316.616804,2894.9
1319.483208,2895
1322.330604,2895
1325.158554,2895.1
1327.974963,2895.2
1330.78069,2895.31
1333.580434,2895.41
1336.377827,2895.41
1339.183554,2895.51
1342.00274,2895.61
1344.839025,2895.71
1347.697096,2895.8
1350.591718,2895.8
1353.516896,2895.91
1356.477736,2896.02
1359.475141,2896.14
1362.505419,2896.27
1365.569495,2896.27
1368.666906,2896.4
1371.797175,2896.55
1374.964036,2896.7
1378.160965,2896.88
1381.383385,2896.88
1384.641917,2897.08
1387.933282,2897.31
1391.258485,2897.55
1394.624844,2897.79
1398.036164,2897.79
1401.489152,2898.03
1404.991609,2898.23
1408.541826,2898.4
1412.127609,2898.54
1415.755608,2898.54
1419.405831,2898.66
1423.069385,2898.8
1426.741832,2898.96
1430.405386,2899.13
1434.038941,2899.13
1437.650272,2899.32
1441.224945,2899.51
1444.761272,2899.7
1448.269284,2899.86
1451.744496,2899.86
1455.189151,2900
1458.605505,2900.13
1461.994601,2900.24
1465.349849,2900.35
1468.672274,2900.35
1471.96692,2900.44
1475.227732,2900.52
1478.461263,2900.58
1481.680412,2900.63
1484.897276,2900.63
1488.108583,2900.68
1491.320789,2900.74
1494.534875,2900.83
1497.745692,2900.95
1500.959777,2900.95
1504.171084,2901.1
1507.379124,2901.28
1510.584875,2901.47
1513.80958,2901.66
1517.068112,2901.66
